h	 	t	 	X(t)	 	Y(t)	 	R
3.141593e-01	0.000000e+00	1.000000e+00	0.000000e+00	1.000000e+00
3.141593e-01	3.141593e-01	9.510578e-01	-3.089916e-01	9.999934e-01
3.141593e-01	6.283185e-01	8.090353e-01	-5.877377e-01	9.999868e-01
3.141593e-01	9.424778e-01	5.878333e-01	-8.089576e-01	9.999802e-01
3.141593e-01	1.256637e+00	3.091025e-01	-9.510010e-01	9.999736e-01
3.141593e-01	1.570796e+00	1.230391e-04	-9.999670e-01	9.999670e-01
3.141593e-01	1.884956e+00	-3.088643e-01	-9.510645e-01	9.999604e-01
3.141593e-01	2.199115e+00	-5.876188e-01	-8.090809e-01	9.999538e-01
3.141593e-01	2.513274e+00	-8.088586e-01	-5.879135e-01	9.999472e-01
3.141593e-01	2.827433e+00	-9.509316e-01	-3.092093e-01	9.999407e-01
3.141593e-01	3.141593e+00	-9.999340e-01	-2.460702e-04	9.999341e-01
3.141593e-01	3.455752e+00	-9.510711e-01	3.087371e-01	9.999275e-01
3.141593e-01	3.769911e+00	-8.091265e-01	5.874998e-01	9.999209e-01
3.141593e-01	4.084070e+00	-5.879936e-01	8.087596e-01	9.999143e-01
3.141593e-01	4.398230e+00	-3.093161e-01	9.508622e-01	9.999077e-01
3.141593e-01	4.712389e+00	-3.690931e-04	9.999010e-01	9.999011e-01
3.141593e-01	5.026548e+00	3.086099e-01	9.510778e-01	9.998945e-01
3.141593e-01	5.340708e+00	5.873809e-01	8.091721e-01	9.998879e-01
3.141593e-01	5.654867e+00	8.086606e-01	5.880737e-01	9.998813e-01
3.141593e-01	5.969026e+00	9.507928e-01	3.094229e-01	9.998747e-01
3.141593e-01	6.283185e+00	9.998680e-01	4.921079e-04	9.998681e-01
3.141593e-01	6.597345e+00	9.510844e-01	-3.084827e-01	9.998615e-01
3.141593e-01	6.911504e+00	8.092177e-01	-5.872620e-01	9.998549e-01
3.141593e-01	7.225663e+00	5.881539e-01	-8.085615e-01	9.998483e-01
3.141593e-01	7.539822e+00	3.095297e-01	-9.507234e-01	9.998418e-01
3.141593e-01	7.853982e+00	6.151146e-04	-9.998350e-01	9.998352e-01
3.141593e-01	8.168141e+00	-3.083556e-01	-9.510910e-01	9.998286e-01
3.141593e-01	8.482300e+00	-5.871430e-01	-8.092633e-01	9.998220e-01
3.141593e-01	8.796459e+00	-8.084625e-01	-5.882339e-01	9.998154e-01
3.141593e-01	9.110619e+00	-9.506539e-01	-3.096364e-01	9.998088e-01
3.141593e-01	9.424778e+00	-9.998019e-01	-7.381131e-04	9.998022e-01
3.141593e-01	9.738937e+00	-9.510975e-01	3.082284e-01	9.997956e-01
3.141593e-01	1.005310e+01	-8.093088e-01	5.870241e-01	9.997890e-01
3.141593e-01	1.036726e+01	-5.883140e-01	8.083635e-01	9.997824e-01
3.141593e-01	1.068142e+01	-3.097432e-01	9.505845e-01	9.997758e-01
3.141593e-01	1.099557e+01	-8.611036e-04	9.997689e-01	9.997692e-01
3.141593e-01	1.130973e+01	3.081012e-01	9.511041e-01	9.997626e-01
3.141593e-01	1.162389e+01	5.869052e-01	8.093544e-01	9.997561e-01
3.141593e-01	1.193805e+01	8.082644e-01	5.883941e-01	9.997495e-01
3.141593e-01	1.225221e+01	9.505150e-01	3.098499e-01	9.997429e-01
3.141593e-01	1.256637e+01	9.997358e-01	9.840859e-04	9.997363e-01
3.141593e-01	1.288053e+01	9.511106e-01	-3.079740e-01	9.997297e-01
3.141593e-01	1.319469e+01	8.093999e-01	-5.867862e-01	9.997231e-01
3.141593e-01	1.350885e+01	5.884741e-01	-8.081654e-01	9.997165e-01
3.141593e-01	1.382301e+01	3.099567e-01	-9.504456e-01	9.997099e-01
3.141593e-01	1.413717e+01	1.107060e-03	-9.997027e-01	9.997033e-01
3.141593e-01	1.445133e+01	-3.078468e-01	-9.511172e-01	9.996967e-01
3.141593e-01	1.476549e+01	-5.866673e-01	-8.094454e-01	9.996901e-01
3.141593e-01	1.507964e+01	-8.080663e-01	-5.885542e-01	9.996835e-01
3.141593e-01	1.539380e+01	-9.503761e-01	-3.100634e-01	9.996769e-01
3.141593e-01	1.570796e+01	-9.996696e-01	-1.230026e-03	9.996704e-01
3.141593e-01	1.602212e+01	-9.511237e-01	3.077196e-01	9.996638e-01
3.141593e-01	1.633628e+01	-8.094909e-01	5.865484e-01	9.996572e-01
3.141593e-01	1.665044e+01	-5.886342e-01	8.079673e-01	9.996506e-01
3.141593e-01	1.696460e+01	-3.101701e-01	9.503066e-01	9.996440e-01
3.141593e-01	1.727876e+01	-1.352984e-03	9.996365e-01	9.996374e-01
3.141593e-01	1.759292e+01	3.075925e-01	9.511302e-01	9.996308e-01
3.141593e-01	1.790708e+01	5.864294e-01	8.095364e-01	9.996242e-01
3.141593e-01	1.822124e+01	8.078682e-01	5.887142e-01	9.996176e-01
3.141593e-01	1.853540e+01	9.502371e-01	3.102768e-01	9.996110e-01
3.141593e-01	1.884956e+01	9.996033e-01	1.475934e-03	9.996044e-01
3.141593e-01	1.916372e+01	9.511367e-01	-3.074653e-01	9.995978e-01
3.141593e-01	1.947787e+01	8.095818e-01	-5.863105e-01	9.995913e-01
3.141593e-01	1.979203e+01	5.887942e-01	-8.077691e-01	9.995847e-01
3.141593e-01	2.010619e+01	3.103835e-01	-9.501676e-01	9.995781e-01
3.141593e-01	2.042035e+01	1.598876e-03	-9.995702e-01	9.995715e-01
3.141593e-01	2.073451e+01	-3.073381e-01	-9.511431e-01	9.995649e-01
